,Close,High,Low,Open,Volume,date,weekday,month,SMA_10,SMA_50,SMA_100,EMA_5,EMA_10,EMA_20,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,KAMA,TMA_20,RSI_7,RSI_14,%D,ROC_5,ROC_10,ROC_20,CCI_14,CCI_50,MOM_10,UO,KST,KST_Signal,BB_Upper,BB_Middle,BB_Lower,BB_PercentB,HL_Range,HL_EMA,CVI,STDDEV_10,STDDEV_20,Log_Returns,HV_10,HV_20,GK_Vol_10,GK_Vol_20,OBV,MFM,MFV,AD,CMF_20,FI_13,VROC_10,PVT
0,5993.25,6006.049805,5982.0,5982.600098,0,02-01-2013,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.04980499999965,24.04980499999965,,,,,,,,,0,-0.06444147883941985,-0.0,-0.0,,,,
1,6009.5,6017.0,5986.549805,6015.799805,0,03-01-2013,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.45019500000035,25.213512272727048,,,,0.0027077144701615867,,,,,0,0.507392317192063,0.0,0.0,,0.0,,0.0
2,6016.149902,6020.75,5981.549805,6011.950195,0,04-01-2013,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.20019500000035,27.75654549586765,,,,0.0011059531471481585,,,,,0,0.7653022899503511,0.0,0.0,,0.0,,0.0
3,5988.399902,6042.149902,5977.149902,6042.149902,0,07-01-2013,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,34.528082678437165,,,,-0.004623255329282474,,,,,0,-0.6538461538461539,-0.0,0.0,,-0.0,,0.0
4,6001.700195,6007.049805,5964.399902,5983.450195,0,08-01-2013,1,1,,,,6001.7999998000005,,,,,,,,,,,,,,,,,,,,,,,,42.64990299999954,36.004777282357594,,,,0.002218546692301429,,,,,0,0.7491384681461357,0.0,0.0,,0.0,,0.0
5,5971.5,6020.100098,5958.450195,6006.200195,0,09-01-2013,2,1,,,,5991.699999866667,,,,,,,,,,,-0.3629082718057815,,,,,,,,,,,,,61.64990299999954,40.66752741283795,,,,-0.00504464279452888,,,,,0,-0.5766479956992066,-0.0,0.0,,-0.0,,0.0
6,5968.649902,6005.149902,5947.299805,5998.799805,0,10-01-2013,3,1,,,,5984.016633911112,,,,,,,,,,,-0.6797586820866942,,,,,,,,,,,,,57.85009700000046,43.79163097414022,,,,-0.0004773973656147663,,,,,0,-0.2618820673714587,-0.0,0.0,,-0.0,,0.0
7,5951.299805,6018.850098,5940.600098,6012.399902,0,11-01-2013,4,1,,,,5973.111024274075,,,,,,,,23.90796385796952,,,-1.077933529855062,,,,,,,,,,,,,78.25,50.05678897884199,,,,-0.0029111044390791353,,,,,0,-0.7265250607028815,-0.0,0.0,,-0.0,,0.0
8,6024.049805,6036.899902,5962.149902,5967.200195,0,14-01-2013,0,1,,,,5990.090617849383,,,,,,,,64.34030806863464,,,0.595316003997883,,,,,,,,,,,,,74.75,54.54646370996163,,,,0.012150107904048186,,,,,0,0.6561846956521616,0.0,0.0,,0.0,,0.0
9,6056.600098,6068.5,6018.600098,6037.850098,0,15-01-2013,1,1,5998.109960899999,,,6012.260444566256,5998.1099609,,,,,0.0,,72.08349098861916,,,0.9147391775040096,,,,,,,,,,,,,49.89990200000011,53.70163430815044,,30.63606107742456,,0.005388844479736927,,,0.08482205317753347,,0,0.5230490833428857,0.0,0.0,,0.0,,0.0
