,date,Close,High,Low,Open,Volume,weekday,month,p_co,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI,SMA_10,SMA_50,EMA_10,EMA_50,VWAP,oc,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,Target,cnnstate,state2d
0,2013-03-19,5745.950195,5863.600098,5724.299805,5859.5,182300.0,0.25,3,-0.0939860217497186,0.6760272710870883,0.5771302560762794,0.6534016956731721,0.36053975745842237,0.023316743036213228,0.011970687487428133,0.020610225750128053,0.014689808233826263,0.0256383930724014,0.6973476705443609,0.02819665689553702,0.017953913933289378,0.013073276975400783,0.07872046094019981,0.3778207029850416,0.027017765186127085,2,,
1,2013-03-20,5694.399902,5745.299805,5682.299805,5740.549805,187600.0,0.5,3,0.20195279920472292,0.6688800339815546,0.5589419430795365,0.652165843034456,0.314785191688138,0.02270953153295091,0.011685514204526681,0.019291983518735623,0.014225882763096442,0.022269597405712993,0.627023272521566,0.027440059284871865,0.01733338092982306,0.012589435670410598,0.08050233716355573,0.3088280808377979,0.02521648896466444,2,,
2,2013-03-21,5658.75,5757.75,5647.950195,5705.899902,179200.0,0.75,3,0.01855188866798588,0.661573455827092,0.5440097356045844,0.6494905644309221,0.28545899053757773,0.021709492897053262,0.011366585510303728,0.01789571730932843,0.013708190252247732,0.021354462388194217,0.628412937123909,0.02623175780604403,0.016850480535646084,0.01280247197452028,0.08974190447208824,0.28411270009445727,0.030630819583645053,1,,
3,2013-03-22,5651.350098,5691.450195,5631.799805,5659.799805,165300.0,1.0,3,0.9900237293704426,0.6557721009386557,0.5356683678278347,0.6460111996679848,0.27937440975936045,0.020270422987012482,0.011057896905471543,0.016687371322516853,0.013195862525997859,0.01992568834918762,0.5864245479748001,0.025102483082341143,0.016353979802148977,0.012913917115202456,0.09783923660833321,0.30506549943646566,0.027958720926929692,2,,
4,2013-03-25,5633.850098,5718.399902,5624.399902,5707.299805,150400.0,0.0,3,-0.35677374531380174,0.650663144722761,0.5306532871301057,0.642048394169036,0.2645761872603871,0.018762174572038826,0.010656328908074553,0.015542768308731303,0.012668301906724688,0.019958283825854184,0.6569785812800744,0.02393954971261064,0.015802699958482602,0.012951119904759112,0.1057064704148394,0.3096764176694582,0.030743062590402243,0,,
5,2013-03-26,5641.600098,5655.299805,5612.049805,5613.75,126500.0,0.25,3,0.10900988891751312,0.647537423436708,0.5313902645107575,0.6381566313728472,0.27876016221979905,0.01742992921359371,0.010229238072458513,0.014675341294050237,0.01217707350302455,0.018881732070735735,0.5463986424558271,0.023118649605103958,0.01550385074813282,0.013152551620932096,0.11240791264077128,0.34018253402675225,0.025559303332703343,0,,
6,2013-03-28,5682.549805,5692.950195,5604.850098,5647.75,209700.0,0.75,3,0.26045161957010315,0.6478189524091535,0.5401388265392363,0.6351082072028953,0.35192025077797817,0.01660540187679571,0.009900635111133815,0.01433056340657407,0.011787766939654554,0.020017123428264783,0.5389524624829434,0.02259880746553089,0.015218477585778933,0.013093625024578559,0.11545649568893028,0.4083013304321814,0.02761002164266746,1,,
7,2013-04-01,5704.399902,5720.950195,5675.899902,5697.350098,97800.0,0.0,4,-0.047326748586704576,0.6497209932769825,0.5510181437948534,0.6331085209213967,0.3889231612343884,0.015605360855078854,0.009556080564382341,0.014243195849092116,0.011457832253533029,0.021939643777544704,0.5694918446799433,0.022671356450960634,0.01524680299309289,0.01307953606874851,0.11488676433251156,0.4370145094782518,0.022936557071789265,0,,
8,2013-04-02,5748.100098,5754.600098,5687.149902,5701.700195,106400.0,0.25,4,-0.13743502836264526,0.6540673681156359,0.5655747844131204,0.6325120569365079,0.4585773948049312,0.014996683617917672,0.009230565509935285,0.01456116020260928,0.011229046092980144,0.02334854065725095,0.5266966224907468,0.0228061253549397,0.015317678054350192,0.013088783440663831,0.1140571770009139,0.49486104163818756,0.02202210661882739,2,,
9,2013-04-03,5672.899902,5744.950195,5650.100098,5740.200195,140700.0,0.5,4,-0.5684923153435186,0.6537690296157186,0.5660978954444411,0.6319660194945284,0.37099261970848163,0.014202958243592467,0.008809237927589753,0.014151144619793221,0.010857438510766648,0.02141011852328467,0.649877276284373,0.02262471671897065,0.015253790212411356,0.0131374763429567,0.11556826781662759,0.3942619149381942,0.02583261555744068,2,,
